"Player","Season","DepthTeam","DepthPos","Madden.Rating","ReservePos","PosFFA","fantPts_est","fantPts_IDPG","fantPts_FFTODAY","fantPts_FFA","fantPts_FDATA","fantPts_agg","fantPts"
"Charles Godfrey",2011,"Car","SS",84,NA,NA,80.32427958341,NA,94,NA,NA,94,91.5
"James Farrior",2011,"Pit","LILB",91,NA,NA,104.249612682866,NA,94,NA,NA,94,72.5
"Brian Cushing",2010,"Hou",NA,80.0610732686033,"Res",NA,NA,NA,94,NA,NA,94,80.25
"Larry Foote",2009,"Det","MLB",78,NA,NA,64.0463661492822,NA,94,NA,NA,94,105.5
"Sammy Knight",2008,"Nyg","SS",83,NA,NA,NA,NA,94,NA,NA,94,11
"Byron Jones",2017,"Dal","FS",84,NA,"DB",74.4663908568503,94.9,91.25,94.3833333333333,NA,93.9875,88.75
"Denarius Moore",2014,"Oak","RWR",81,NA,"WR",97.4004730935116,NA,63.7,87.1343461538462,82.4,93.9784307802898,17.6
"Brent Celek",2009,"Phi","TE",73,NA,"TE",67.7081800402422,NA,120.2,120.2,NA,93.9540900201211,183.1
"Greg Olsen",2008,"Chi","TE",85,NA,"TE",86.275,NA,101.5,101.5,NA,93.8875,110.4
"Davone Bess",2013,"Cle","LWR",76,NA,"WR",96.668958113413,NA,87.6,88.126,NA,93.821305408942,69.2
"Ladarius Green",2014,"Sdg","TE",79,NA,"TE",64.5356122925339,NA,112.9,115.477641025641,101.4,93.804417772725,32.1
"Tony Scheffler",2009,"Den","TE",79,NA,"TE",89.500608928653,NA,96,98,NA,93.7503044643265,69.1
"Tahir Whitehead",2017,"Det","OLB",74,NA,"LB",78.5610109217159,90.25,104.25,90.2,NA,93.75,117.25
"Tj Ward",2012,"Cle","SS",86,NA,NA,75.4043608425611,NA,93.75,NA,NA,93.75,78.25
"Bob Sanders",2009,"Ind","SS",95,NA,NA,51.3776094120506,NA,93.75,NA,NA,93.75,6.75
"Joshua Wilson",2009,"Sea","LCB",77,NA,NA,71.6277897775516,NA,93.75,NA,NA,93.75,74.5
"James Harrison",2008,"Pit","ROLB",93,NA,NA,NA,NA,93.75,NA,NA,93.75,153.25
"Rashad Johnson",2016,"Ten","FS",82,NA,"DB",72.0876866140591,98.125,80.5,86.25,NA,93.71875,36
"Adam Jones",2016,"Cin","RCB",88,NA,"DB",69.6236676000844,97.85,81,91.0333333333334,NA,93.6375,70.25
"James Starks",2016,"Gnb","RB",79,NA,"RB",75.9064851324116,NA,76.2,102.490138888889,102.5,93.6322080071002,49.4
"Travis Kelce",2014,"Kan","LS",74,NA,"TE",83.4038888888889,NA,99.2,98.1222222222222,99.3,93.6087037037037,143.7
"Malcolm Jenkins",2015,"Phi","S",85,NA,"DB",84.6628333333333,93.3,94.5,99.6033333333333,NA,93.6,139
"Garrett Graham",2014,"Hou","TE",76,NA,"TE",83.4543415818102,NA,105.5,99.7300256410257,97.6,93.5947890742786,34.7
"Antoine Winfield",2011,"Min","LCB",90,NA,NA,88.9503774799698,NA,93.5,NA,NA,93.5,50.75
"Cortland Finnegan",2010,"Ten","RCB",92,NA,NA,85.0312609732793,NA,93.5,NA,NA,93.5,117.5
"Brandon Meriweather",2009,"Nwe","SS",79,NA,NA,71.0653198209018,NA,93.5,NA,NA,93.5,106.25
"Nick Collins",2009,"Gnb","FS",93,NA,NA,91.292882264574,NA,93.5,NA,NA,93.5,86
"Trent Cole",2009,"Phi","RDE",91,NA,NA,87.9798978875787,NA,93.5,NA,NA,93.5,96.75
"Aaron Schobel",2008,"Buf","RDE",92,NA,NA,NA,NA,93.5,NA,NA,93.5,25.5
"Legarrette Blount",2018,"Det","RB",87,NA,"RB",114.809059050227,NA,60.8,75.5630535714285,89.7,93.3573708738852,NA
"Rodney Mcleod",2016,"Phi","S",81,NA,"DB",76.0254166666666,92.3,96.5,89.4416666666666,NA,93.35,100.75
"Ron Parker",2016,"Kan","FS",81,NA,"DB",74.9797902336412,93.475,92.75,97.9666666666667,NA,93.29375,73.25
"Eric Reid",2017,"Sfo","SS",77,NA,"DB",66.2811170073623,99.275,75.25,88.4666666666666,NA,93.26875,75.5
"Marcedes Lewis",2012,"Jax","TE",84,NA,"TE",85.6376797022827,NA,116.2,100.8925,NA,93.2650898511414,104
"Donte Whitner",2014,"Cle","SS",89,NA,"DB",75.3080860154802,NA,93.25,NA,NA,93.25,100.75
"Ryan Kerrigan",2014,"Was","LOLB",86,NA,"LB",85.7073499270586,NA,93.25,NA,NA,93.25,112.75
"James Anderson",2013,"Chi","SLB",82,NA,NA,78.6830733569984,NA,93.25,NA,NA,93.25,116
"Tj Ward",2013,"Cle","SS",90,NA,NA,81.47177231499,NA,93.25,NA,NA,93.25,125.25
"Brian Orakpo",2012,"Was","ROLB",91,NA,NA,76.4090737063901,NA,93.25,NA,NA,93.25,12
"Antrel Rolle",2011,"Nyg","FS",85,NA,NA,80.6644477697051,NA,93.25,NA,NA,93.25,103.5
"George Wilson",2011,"Buf","SS",75,NA,NA,61.4781315387631,NA,93.25,NA,NA,93.25,120.6
"Derrick Johnson",2010,"Kan","LILB",76,NA,NA,92.1129053690852,NA,93.25,NA,NA,93.25,150.25
"Will Smith",2010,"Nor","RDE",90,NA,NA,68.2384366651708,NA,93.25,NA,NA,93.25,63.5
"Devon Kennard",2015,"Nyg","SLB",79,NA,"LB",75.0156784989818,104.725,58.75,92.2483333333333,NA,93.23125,55.25
"Randy Bullock",2016,"Nyg","PK",78.3841941931782,NA,"K",124.165988339127,NA,NA,31.3310696095076,NA,93.2210154292536,36
"Vonn Bell",2018,"Nor","SS",74,NA,"DB",67.8331781700466,94.7,88.75,NA,NA,93.2125,NA
"Melvin Ingram",2016,"Sdg","LOLB",86,NA,"LB",77.6868724368708,94.05,90.25,102.833333333333,NA,93.1,93.5
"Tevin Coleman",2016,"Atl","RB",75,NA,"RB",81.6783100641627,NA,93.5,93.6520188766114,103.9,93.0767763135914,175.6
"Connor Barth",2014,"Den",NA,80.5118790147071,NA,"K",87.8418333333333,NA,NA,103.343333333333,NA,93.009,65
"Dal",2018,"Dal","DST",69,NA,"DST",132.161955274909,NA,97,NA,93,93,NA
"Nyg",2016,"Nyg","DST",69,NA,"DST",122.009774076987,NA,91,NA,93,93,143
"Pit",2015,"Pit","DST",69,NA,"DST",128.040682280218,NA,100,NA,93,93,151
