"Player","Season","PosFFA","Team","fantPts_agg","fantPts_est","fantPts_FFA","fantPts_FDATA","fantPts"
"Matthew Forte",2011,"RB","Chi",209.487700327487,182.875400654973,236.1,NA,197.7
"Doug Martin",2014,"RB","Tam",209.297739597034,178.272419923302,221.520798867799,228.1,74.3
"Keenan Allen",2016,"WR","Sdg",209.252494799348,195.120267376474,223.384722222223,205.2,9.3
"Calvin Johnson",2011,"WR","Det",209.067119639086,187.134239278172,231,NA,311.2
"Larry Fitzgerald",2012,"WR","Ari",208.982236639046,191.439473278091,226.525,NA,141.3
"Calvin Johnson",2009,"WR","Det",208.640074806796,198.480149613593,218.8,NA,166.2
"Ryan Mathews",2010,"RB","Sdg",208.610441968085,181.420883936171,235.8,NA,127.3
"Colin Kaepernick",2013,"QB","Sfo",208.499617318142,112.795634636285,304.2036,NA,269.28
"Marion Barber",2009,"RB","Dal",208.305013442385,171.71002688477,244.9,NA,166.3
"Matthew Schaub",2013,"QB","Hou",208.2953189898,193.0734379796,223.5172,NA,104.8
"Miles Austin",2010,"WR","Dal",207.786457771335,187.072915542671,228.5,NA,199.9
"Deangelo Williams",2010,"RB","Car",207.261751247347,186.323502494694,228.2,NA,51.7
"Frank Gore",2008,"RB","Sfo",207.2,NA,207.2,NA,203.4
"Odell Beckham",2018,"WR","Nyg",206.976054477655,173.160888733251,240.791220222059,220.8,NA
"Patrick Mahomes",2018,"QB","Kan",206.893712902335,100.344227595894,253.136911111111,267.2,NA
"Demaryius Thomas",2013,"WR","Den",206.738143215597,185.416953097862,228.059333333333,NA,274
"Matthew Forte",2012,"RB","Chi",206.516122015099,177.392244030197,235.64,NA,200.4
"Alshon Jeffery",2014,"WR","Chi",206.472781610824,190.672812450197,222.272750771451,230.6,219.1
"Carson Palmer",2008,"QB","Cin",206.46,NA,206.46,NA,38.04
"Deshone Kizer",2017,"QB","Cle",206.421330323183,249.487057636217,183.396933333333,186.38,183.66
"Jordy Nelson",2017,"WR","Gnb",206.380842948879,182.140138044917,230.621547852841,232.9,112.7
"Alshon Jeffery",2016,"WR","Chi",206.360838990516,196.694185917541,216.027492063492,212.1,122.1
"Marshawn Lynch",2013,"RB","Sea",206.35587811445,164.552422895566,248.159333333333,NA,263.3
"Jordy Nelson",2016,"WR","Gnb",206.35585884623,191.952701819443,220.759015873016,205.1,256.2
